137
sigaltstack,2
mremap,1
rmdir,4
poll,1
pivot_root,34
pwrite,35
lstat64,70
bind,1
brk,123
pipe,11
getuid32,133
write,97
mkdir,84
SYS_224,125
read,124
uname,1
getsockname,1
gettimeofday,110
sched_yield,48
recvfrom,1
chdir,1
sigaction,4
msgget,137
mprotect,133
ftruncate64,3
nanosleep,60
flock,53
umask,1
access,114
lseek,107
setpriority,2
getsockopt,3
setsockopt,1
ioctl,133
fsync,77
recv,133
getdents64,101
pread,113
chmod,94
close,122
connect,1
stat64,116
getppid,1
semget,132
wait4,6
fchmod,6
ipc_subcall,36
fcntl64,117
sigprocmask,111
mmap2,125
fstat64,113
fork,13
munmap,118
getpriority,98
unlink,61
_llseek,54
rename,46
clone,112
semop,110
setup,1
ftruncate,33
socket,3
getpid,137
open,118
dup,109
writev,121
