Process 11938 attached - interrupt to quit
Process 11938 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.51    2.141846       39664        54           ioctl
  2.27    0.050843        1156        44           recv
  0.83    0.018693        3116         6           fsync
  0.49    0.010886          84       130           mprotect
  0.10    0.002331          61        38           mmap2
  0.10    0.002262          50        45           msgget
  0.07    0.001465         293         5           unlink
  0.06    0.001384          73        19           getpid
  0.05    0.001166         194         6           semget
  0.05    0.001146          44        26           munmap
  0.05    0.001051         150         7         1 open
  0.04    0.000964         161         6           writev
  0.04    0.000882          35        25           pread
  0.04    0.000864         144         6           write
  0.04    0.000831         166         5           rename
  0.03    0.000739         123         6           getuid32
  0.03    0.000607          87         7           chmod
  0.03    0.000598          46        13           SYS_224
  0.03    0.000597           7        80           sigprocmask
  0.02    0.000554          50        11         6 access
  0.02    0.000544          91         6           clone
  0.02    0.000509         102         5           getdents64
  0.01    0.000326          27        12           fstat64
  0.01    0.000266          30         9           close
  0.01    0.000257         257         1           mkdir
  0.01    0.000201         201         1           getpriority
  0.01    0.000195          24         8           gettimeofday
  0.01    0.000193          32         6         1 lstat64
  0.01    0.000182          30         6           stat64
  0.00    0.000074          25         3           dup
  0.00    0.000070          23         3           brk
  0.00    0.000056          28         2           fcntl64
  0.00    0.000048          48         1           semop
------ ----------- ----------- --------- --------- ----------------
100.00    2.242630                   602         8 total
