Process 18663 attached - interrupt to quit
Process 18663 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.57    2.340949       57096        41        23 recv
  1.58    0.037854        1456        26           ioctl
  0.47    0.011346         129        88           msgget
  0.18    0.004277        1069         4           open
  0.06    0.001495         100        15           mmap2
  0.03    0.000808          40        20           mprotect
  0.01    0.000322          54         6           getdents64
  0.01    0.000319          15        22           getpid
  0.01    0.000315          29        11           SYS_224
  0.01    0.000216          36         6           read
  0.01    0.000201          18        11           semget
  0.01    0.000188          38         5         2 stat64
  0.01    0.000170          43         4           writev
  0.01    0.000132          66         2         1 access
  0.00    0.000100          17         6           lseek
  0.00    0.000097          10        10           getuid32
  0.00    0.000081          81         1           clone
  0.00    0.000071           9         8           sigprocmask
  0.00    0.000070          35         2           pread
  0.00    0.000069          12         6           close
  0.00    0.000051          51         1           munmap
  0.00    0.000040          20         2           brk
  0.00    0.000025          25         1           semop
  0.00    0.000019           6         3           dup
  0.00    0.000017           9         2           getpriority
  0.00    0.000013           7         2           fcntl64
------ ----------- ----------- --------- --------- ----------------
100.00    2.399245                   305        26 total
