Process 7894 attached - interrupt to quit
Process 7894 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.09    3.303648      206478        16           semget
  4.24    0.152275         149      1020         1 recv
  2.01    0.072118        1093        66           ioctl
  0.35    0.012451         249        50           mmap2
  0.28    0.010128       10128         1           nanosleep
  0.27    0.009845          42       236           mprotect
  0.27    0.009646         193        50           _llseek
  0.13    0.004676         275        17         4 open
  0.09    0.003238          35        93           msgget
  0.07    0.002596          36        73           read
  0.03    0.000987          82        12           writev
  0.02    0.000886          39        23        10 access
  0.02    0.000765          13        60           gettimeofday
  0.02    0.000625          69         9           clone
  0.02    0.000581          13        46           getpid
  0.02    0.000550          29        19         2 stat64
  0.01    0.000327         327         1           mkdir
  0.01    0.000248           8        30           SYS_224
  0.01    0.000240          60         4           munmap
  0.01    0.000223          10        22           lseek
  0.01    0.000184          18        10           brk
  0.00    0.000179          14        13           close
  0.00    0.000166         166         1           write
  0.00    0.000134          45         3           getdents64
  0.00    0.000117          39         3           pread
  0.00    0.000098           7        15           getuid32
  0.00    0.000070          70         1           chmod
  0.00    0.000051          13         4           fcntl64
  0.00    0.000048          12         4           fstat64
  0.00    0.000034          17         2           flock
  0.00    0.000032           8         4           sigprocmask
  0.00    0.000030          30         1           semop
  0.00    0.000027           9         3           dup
  0.00    0.000006           6         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    3.587229                  1913        17 total
