Process 18553 attached - interrupt to quit
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 73.15    0.566948      188983         3           fsync
 17.20    0.133296        3332        40           ioctl
  6.19    0.047991         516        93         1 recv
  0.89    0.006903          28       243           mprotect
  0.61    0.004737          76        62           mmap2
  0.39    0.003048        1524         2           pivot_root
  0.21    0.001659          49        34           munmap
  0.19    0.001510          46        33           pread
  0.16    0.001251          12       107           msgget
  0.13    0.000996          77        13           clone
  0.09    0.000721          14        52           sigprocmask
  0.09    0.000670          16        42           getpid
  0.08    0.000650         130         5         1 open
  0.08    0.000648          34        19           writev
  0.07    0.000519          43        12           getdents64
  0.06    0.000476         238         2           mkdir
  0.06    0.000428         143         3           write
  0.05    0.000364          73         5           chmod
  0.03    0.000263         263         1           rmdir
  0.03    0.000250          42         6         5 access
  0.03    0.000240           8        29           SYS_224
  0.03    0.000213          43         5           brk
  0.02    0.000181          26         7           stat64
  0.02    0.000174          15        12           semget
  0.02    0.000168          13        13           close
  0.02    0.000130          33         4         3 lstat64
  0.02    0.000128          43         3           semop
  0.02    0.000119          20         6           fstat64
  0.01    0.000094           8        12           getuid32
  0.01    0.000079           9         9           dup
  0.01    0.000077          15         5           gettimeofday
  0.01    0.000052           9         6           fcntl64
  0.00    0.000031           8         4           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    0.775014                   892        10 total
