Process 9987 attached - interrupt to quit
Process 9987 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.99    1.120477       74698        15           semget
 13.28    0.188348        2047        92           ioctl
  4.14    0.058706          54      1083         2 recv
  0.61    0.008628         508        17           open
  0.57    0.008124          28       294           mprotect
  0.43    0.006080         217        28           pread
  0.37    0.005228          67        78           mmap2
  0.35    0.004906        4906         1           fsync
  0.29    0.004164          85        49           writev
  0.29    0.004072         194        21           close
  0.16    0.002283          22       104           msgget
  0.09    0.001326          44        30           munmap
  0.06    0.000902          36        25        18 access
  0.06    0.000801          18        45           getpid
  0.05    0.000648          65        10           clone
  0.04    0.000605         121         5           write
  0.04    0.000500         250         2           mkdir
  0.03    0.000455           7        64           sigprocmask
  0.03    0.000399          20        20           read
  0.03    0.000392          28        14           getuid32
  0.02    0.000349          29        12         2 stat64
  0.02    0.000240          18        13           brk
  0.02    0.000238          40         6           getdents64
  0.01    0.000157           6        28           SYS_224
  0.01    0.000121           9        14           lseek
  0.01    0.000113          10        11           fstat64
  0.01    0.000090          90         1           chmod
  0.00    0.000051          26         2           semop
  0.00    0.000043           7         6           dup
  0.00    0.000034          11         3           gettimeofday
  0.00    0.000025           6         4           fcntl64
  0.00    0.000016          16         1         1 lstat64
  0.00    0.000012           6         2           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    1.418533                  2100        23 total
