Process 8847 attached - interrupt to quit
Process 8847 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.77    8.847907      149965        59           semget
  1.67    0.154386         155       994         1 recv
  1.54    0.142441        1113       128           ioctl
  0.29    0.027067         128       212           msgget
  0.15    0.013477          34       398           mprotect
  0.12    0.010724         766        14         8 access
  0.10    0.009198         103        89           getpid
  0.07    0.006323          69        91           mmap2
  0.06    0.005994         150        40           getuid32
  0.05    0.004915         102        48           pread
  0.05    0.004381         337        13           open
  0.03    0.003220          63        51           munmap
  0.03    0.002709         452         6           dup
  0.02    0.001678          80        21           writev
  0.01    0.001189           9       129           sigprocmask
  0.01    0.000624          33        19           close
  0.01    0.000485          69         7           clone
  0.00    0.000432          24        18           read
  0.00    0.000324           7        45           SYS_224
  0.00    0.000319         106         3           semop
  0.00    0.000284          32         9         2 stat64
  0.00    0.000180          11        16           lseek
  0.00    0.000147          18         8           brk
  0.00    0.000048          12         4           fstat64
  0.00    0.000038          10         4           fcntl64
  0.00    0.000020          20         1           getdents64
  0.00    0.000010          10         1           gettimeofday
------ ----------- ----------- --------- --------- ----------------
100.00    9.238520                  2428        11 total
