Process 7023 attached - interrupt to quit
Process 7023 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 74.81    0.774631       64553        12           semget
 11.63    0.120402        1295        93           ioctl
  9.00    0.093198          96       969           recv
  1.38    0.014303         170        84           mprotect
  0.73    0.007545         359        21           read
  0.72    0.007507         127        59           mmap2
  0.44    0.004571         381        12           open
  0.37    0.003797         422         9           writev
  0.17    0.001762          26        68           msgget
  0.13    0.001354         123        11         3 stat64
  0.10    0.001050          31        34           getpid
  0.08    0.000847          50        17           lseek
  0.07    0.000699          44        16           munmap
  0.06    0.000635          40        16           pread
  0.06    0.000611          44        14         8 access
  0.06    0.000603          35        17           close
  0.06    0.000596         149         4           clone
  0.04    0.000371           9        40           sigprocmask
  0.03    0.000320          32        10           getuid32
  0.02    0.000198           9        21           SYS_224
  0.02    0.000185          26         7           brk
  0.01    0.000094          19         5           gettimeofday
  0.01    0.000065          33         2           semop
  0.01    0.000053           9         6           dup
  0.00    0.000037           9         4           fcntl64
  0.00    0.000031          10         3           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00    1.035465                  1554        11 total
