Process 8611 attached - interrupt to quit
Process 8611 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.23   16.333878        1184     13791           ioctl
  6.57    1.162679          26     44483       156 recv
  0.74    0.131063          17      7905           msgget
  0.20    0.035371          22      1581           semget
  0.12    0.021219          13      1581           getpid
  0.09    0.015622          10      1581           getuid32
  0.05    0.009334          42       222           brk
  0.00    0.000240          40         6           mprotect
  0.00    0.000199         100         2           mmap2
------ ----------- ----------- --------- --------- ----------------
100.00   17.709605                 71152       156 total
