Process 8325 attached - interrupt to quit
Process 8325 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.31    1.043986      521993         2           fsync
 11.63    0.142307        2295        62           recv
  1.44    0.017647         126       140           read
  0.64    0.007811        1953         4           ioctl
  0.18    0.002208          18       125           _llseek
  0.17    0.002067          27        76           mprotect
  0.11    0.001399         350         4           mkdir
  0.09    0.001099         550         2           pwrite
  0.08    0.000927          77        12           mmap2
  0.06    0.000750         125         6           close
  0.05    0.000647          92         7           writev
  0.05    0.000611          56        11         2 open
  0.04    0.000523          33        16         7 stat64
  0.03    0.000370          37        10         4 access
  0.02    0.000224          75         3           clone
  0.02    0.000222          12        18           fcntl64
  0.01    0.000170           9        18           fstat64
  0.01    0.000167          21         8           lseek
  0.01    0.000104           9        11           msgget
  0.01    0.000101          51         2           chmod
  0.00    0.000061          20         3           brk
  0.00    0.000058          58         1           munmap
  0.00    0.000053          27         2           pread
  0.00    0.000041          21         2         2 unlink
  0.00    0.000035          18         2           pivot_root
  0.00    0.000030          15         2           flock
  0.00    0.000028           9         3           getpid
  0.00    0.000025          13         2           gettimeofday
  0.00    0.000019           6         3           SYS_224
  0.00    0.000013          13         1           getuid32
------ ----------- ----------- --------- --------- ----------------
100.00    1.223703                   558        15 total
