Process 4449 attached - interrupt to quit
Process 4449 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 86.67    0.575788       95965         6           open
  5.96    0.039589        1466        27           ioctl
  4.95    0.032917        2992        11           recv
  0.87    0.005808         142        41           mmap2
  0.28    0.001885          42        45           mprotect
  0.27    0.001797          60        30           munmap
  0.18    0.001221          44        28           pread
  0.17    0.001139          13        91           sigprocmask
  0.17    0.001119          17        66           msgget
  0.10    0.000659         165         4           getdents64
  0.07    0.000446          64         7           close
  0.06    0.000398         398         1           fstat64
  0.05    0.000336          15        22           getpid
  0.04    0.000250          63         4           writev
  0.03    0.000175          35         5         2 stat64
  0.03    0.000167          15        11           semget
  0.02    0.000156          26         6           read
  0.02    0.000141          18         8           lseek
  0.02    0.000105          53         2         1 access
  0.01    0.000082           8        10           getuid32
  0.01    0.000078           7        11           SYS_224
  0.00    0.000028          28         1           semop
  0.00    0.000023           8         3           dup
  0.00    0.000019          19         1           getpriority
  0.00    0.000015           8         2           fcntl64
------ ----------- ----------- --------- --------- ----------------
100.00    0.664341                   443         3 total
