Process 10457 attached - interrupt to quit
Process 10457 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.17    2.832200      283220        10           semget
  1.67    0.048135        1783        27           ioctl
  0.06    0.001731         192         9           close
  0.02    0.000571          20        29           msgget
  0.02    0.000483         242         2           recv
  0.02    0.000442          28        16           getpid
  0.01    0.000355         118         3           semop
  0.01    0.000296         148         2           mmap2
  0.01    0.000265          66         4           munmap
  0.01    0.000197          16        12           sigprocmask
  0.00    0.000116          15         8           getuid32
  0.00    0.000081          41         2           read
  0.00    0.000077          15         5           SYS_224
  0.00    0.000068          23         3           dup
  0.00    0.000044          22         2           fcntl64
------ ----------- ----------- --------- --------- ----------------
100.00    2.885061                   134           total
