Process 21112 attached - interrupt to quit
Process 21112 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.69    8.862674      340872        26           semget
  3.65    0.349037       26849        13           fsync
  2.20    0.210244        1965       107           recv
  0.76    0.072772        1011        72           ioctl
  0.20    0.018687          74       251           mprotect
  0.17    0.016146         734        22         3 open
  0.08    0.008045         149        54           mmap2
  0.03    0.002678         179        15           write
  0.02    0.002214          16       135           msgget
  0.02    0.001724         192         9           unlink
  0.02    0.001717          52        33        16 access
  0.02    0.001657          66        25           read
  0.02    0.001612         115        14           chmod
  0.01    0.001317          60        22           munmap
  0.01    0.001262          33        38         2 stat64
  0.01    0.001130          18        64           getpid
  0.01    0.001077         120         9           rename
  0.01    0.001027          49        21           pread
  0.01    0.000943         118         8           clone
  0.01    0.000787          39        20           close
  0.01    0.000749          28        27           fstat64
  0.01    0.000630          11        56           sigprocmask
  0.01    0.000557          31        18           brk
  0.01    0.000531          20        27           getuid32
  0.01    0.000528          41        13         4 lstat64
  0.00    0.000306           7        41           SYS_224
  0.00    0.000304          30        10           writev
  0.00    0.000278          20        14           _llseek
  0.00    0.000229         229         1           mkdir
  0.00    0.000164          55         3           getdents64
  0.00    0.000121           9        14           lseek
  0.00    0.000117          12        10           gettimeofday
  0.00    0.000038          10         4           fcntl64
  0.00    0.000035          18         2           flock
  0.00    0.000023          23         1           semop
  0.00    0.000020           7         3           dup
  0.00    0.000007           7         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    9.561387                  1203        25 total
