Process 4793 attached - interrupt to quit
Process 4793 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.80    7.801560      181432        43           semget
  2.82    0.232244         218      1067           recv
  1.05    0.086670         841       103           ioctl
  0.34    0.027738         334        83           getpid
  0.25    0.020427          27       760           mprotect
  0.21    0.017240         132       131           mmap2
  0.11    0.009129          46       197           msgget
  0.06    0.004782         159        30           read
  0.05    0.004372         364        12           open
  0.04    0.003672         111        33           writev
  0.04    0.003608          46        78           munmap
  0.04    0.003260        1630         2           nanosleep
  0.04    0.003034          39        78           pread
  0.03    0.002359          71        33           getuid32
  0.02    0.001555         130        12           close
  0.02    0.001450           8       177           sigprocmask
  0.02    0.001398          70        20         3 stat64
  0.01    0.001194          75        16         8 access
  0.01    0.001016          85        12           ipc_subcall
  0.01    0.000828          69        12           clone
  0.01    0.000686          46        15           getdents64
  0.01    0.000602          12        50           SYS_224
  0.00    0.000309          17        18           brk
  0.00    0.000160          11        14           lseek
  0.00    0.000147          21         7         3 lstat64
  0.00    0.000134         134         1           write
  0.00    0.000064          16         4           gettimeofday
  0.00    0.000044          15         3           fstat64
  0.00    0.000037           7         5           getpriority
  0.00    0.000033          33         1           semop
  0.00    0.000029          10         3           dup
  0.00    0.000019          19         1           sched_yield
  0.00    0.000017           9         2           fcntl64
------ ----------- ----------- --------- --------- ----------------
100.00    8.229817                  3023        14 total
