Process 7790 attached - interrupt to quit
Process 7790 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.95    1.035949      147993         7         1 mkdir
 18.62    0.296948        1856       160           recv
  4.08    0.065000          13      4883           mprotect
  3.34    0.053256        1005        53           ioctl
  2.67    0.042509        3542        12           fsync
  1.57    0.024999         219       114           writev
  1.10    0.017591          68       260        25 access
  0.78    0.012509          98       127         4 open
  0.74    0.011741          50       234           fstat64
  0.56    0.008907         891        10           pread
  0.46    0.007261          63       116           write
  0.21    0.003377          27       127           close
  0.20    0.003167          60        53           mmap2
  0.15    0.002336         212        11           unlink
  0.09    0.001409         128        11           rename
  0.07    0.001179          91        13           chmod
  0.07    0.001066          12        91           msgget
  0.05    0.000832          27        31         2 stat64
  0.05    0.000814          74        11           clone
  0.05    0.000797          47        17           munmap
  0.05    0.000723          45        16           read
  0.03    0.000510          13        38           getpid
  0.03    0.000408          11        36           SYS_224
  0.02    0.000280          23        12         1 lstat64
  0.02    0.000276          14        20           sigprocmask
  0.01    0.000200          13        16           gettimeofday
  0.01    0.000174          22         8           brk
  0.01    0.000159         159         1           semop
  0.01    0.000151           9        16           lseek
  0.01    0.000149          50         3           getdents64
  0.00    0.000068          14         5           _llseek
  0.00    0.000058          15         4           fcntl64
  0.00    0.000040          10         4           getuid32
  0.00    0.000037          19         2           semget
  0.00    0.000036          18         2           flock
  0.00    0.000030          10         3           dup
  0.00    0.000021          21         1           ipc_subcall
  0.00    0.000008           8         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    1.594975                  6529        33 total
