Process 14029 attached - interrupt to quit
Process 14029 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.64    9.513443      679532        14           semget
  1.25    0.121421         121      1007           recv
  0.73    0.071310        1049        68           ioctl
  0.14    0.013651          98       140           mprotect
  0.06    0.006035         168        36           getpid
  0.04    0.004288         390        11           open
  0.04    0.003930          85        46           mmap2
  0.03    0.002971          43        69           msgget
  0.01    0.001211          48        25        15 access
  0.01    0.000732          18        40           brk
  0.01    0.000710          71        10           clone
  0.01    0.000590          45        13         2 stat64
  0.01    0.000546          29        19           read
  0.01    0.000523          24        22           SYS_224
  0.01    0.000522         522         1           pread
  0.01    0.000499         125         4         1 mkdir
  0.00    0.000445          37        12           getuid32
  0.00    0.000262          29         9           writev
  0.00    0.000198          14        14           lseek
  0.00    0.000128          11        12           close
  0.00    0.000124          41         3           fstat64
  0.00    0.000051          51         1           munmap
  0.00    0.000040          40         1           chmod
  0.00    0.000028          28         1           semop
  0.00    0.000021           7         3           dup
  0.00    0.000017           9         2           fcntl64
  0.00    0.000014          14         1           gettimeofday
------ ----------- ----------- --------- --------- ----------------
100.00    9.743710                  1584        18 total
