Process 10194 attached - interrupt to quit
Process 10194 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.29    0.276398         458       603           read
 19.95    0.092991        1860        50         3 recv
 10.17    0.047437         741        64           ioctl
  2.87    0.013367          16       844           mprotect
  2.56    0.011930          22       534           lseek
  1.69    0.007895          88        90           msgget
  1.01    0.004692         276        17         2 open
  0.74    0.003448          84        41           mmap2
  0.30    0.001383         106        13         2 access
  0.29    0.001337         334         4           pread
  0.27    0.001268          85        15           writev
  0.16    0.000747          42        18         2 stat64
  0.14    0.000642          14        46           getpid
  0.11    0.000505         101         5           clone
  0.06    0.000280          15        19           _llseek
  0.05    0.000246          15        16           close
  0.05    0.000231          58         4           munmap
  0.05    0.000213           7        31           SYS_224
  0.04    0.000204          15        14           semget
  0.04    0.000202          20        10           sigprocmask
  0.03    0.000128          43         3           getdents64
  0.03    0.000123          21         6           brk
  0.02    0.000099           7        14           getuid32
  0.02    0.000087          87         1           write
  0.02    0.000085          11         8           fcntl64
  0.02    0.000080          13         6           gettimeofday
  0.02    0.000072          36         2           pipe
  0.01    0.000035          18         2           flock
  0.01    0.000031          10         3           dup
  0.01    0.000029          10         3           fstat64
  0.01    0.000026          26         1           semop
  0.00    0.000005           5         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    0.466216                  2488         9 total
