Process 10419 attached - interrupt to quit
Process 10419 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 88.27    3.660562      183028        20           semget
  7.07    0.293366         275      1068         1 recv
  1.92    0.079490         893        89           ioctl
  0.74    0.030853          45       685           mprotect
  0.52    0.021703         211       103           mmap2
  0.33    0.013610         907        15           clone
  0.21    0.008818         205        43           munmap
  0.14    0.005926        1185         5         1 mkdir
  0.13    0.005357         298        18         2 open
  0.10    0.004028        2014         2           write
  0.10    0.004005         138        29        15 access
  0.09    0.003666          80        46           writev
  0.07    0.002946          27       111           msgget
  0.07    0.002928          81        36           read
  0.06    0.002438          64        38           pread
  0.03    0.001113          21        54           getpid
  0.02    0.001000          14        73           sigprocmask
  0.02    0.000942         118         8           gettimeofday
  0.02    0.000876          42        21         2 stat64
  0.02    0.000683          31        22           lseek
  0.01    0.000549          37        15           close
  0.01    0.000405          21        19           getuid32
  0.01    0.000399          12        34           SYS_224
  0.01    0.000347          22        16           brk
  0.01    0.000320          46         7           getdents64
  0.00    0.000162          32         5           fstat64
  0.00    0.000111          16         7           _llseek
  0.00    0.000046          12         4           fcntl64
  0.00    0.000046          46         1           chmod
  0.00    0.000040          13         3           dup
  0.00    0.000033          17         2           flock
  0.00    0.000031          31         1           semop
  0.00    0.000020          10         2           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    4.146819                  2602        21 total
