Process 8755 attached - interrupt to quit
Process 8755 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.83    0.974859       23777        41           recv
  8.64    0.106850         335       319           read
  5.47    0.067692        1254        54         1 ioctl
  1.25    0.015519          52       301           write
  1.13    0.013940          20       687           mprotect
  0.81    0.010056        2514         4           mkdir
  0.63    0.007817         223        35           pread
  0.60    0.007366        1473         5           clone
  0.42    0.005183         273        19         3 open
  0.41    0.005011          68        74           mmap2
  0.28    0.003508        3508         1           fsync
  0.24    0.002913          31        95           msgget
  0.23    0.002792          10       283           lseek
  0.20    0.002427         101        24        12 access
  0.17    0.002075          61        34           munmap
  0.09    0.001164          12        99           sigprocmask
  0.09    0.001116         124         9           writev
  0.08    0.001025          45        23         2 stat64
  0.08    0.000948          41        23           close
  0.07    0.000898          24        37           getpid
  0.05    0.000670          74         9           dup
  0.05    0.000640          53        12           fcntl64
  0.05    0.000562          22        26           SYS_224
  0.02    0.000272          21        13           brk
  0.02    0.000262          44         6           getdents64
  0.01    0.000175          58         3           chmod
  0.01    0.000174          87         2           pipe
  0.01    0.000138          15         9           semget
  0.01    0.000124          16         8           fstat64
  0.01    0.000093           8        11           getuid32
  0.01    0.000089          30         3           semop
  0.00    0.000057          19         3           _llseek
  0.00    0.000056          14         4           gettimeofday
  0.00    0.000052          52         1         1 lstat64
  0.00    0.000037          19         2           flock
  0.00    0.000022          11         2           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    1.236582                  2281        19 total
