Process 11225 attached - interrupt to quit
Process 11225 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 73.00    0.176971         560       316           read
  9.77    0.023690        1030        23         3 recv
  6.34    0.015376          23       670           mprotect
  4.68    0.011344         378        30         1 ioctl
  1.37    0.003329          12       281           lseek
  1.19    0.002894         100        29           mmap2
  0.59    0.001432         358         4           pread
  0.57    0.001388         116        12         3 access
  0.31    0.000748          62        12         2 open
  0.30    0.000719          55        13           stat64
  0.27    0.000657          16        42           msgget
  0.21    0.000507          27        19           getpid
  0.20    0.000475         475         1           sched_yield
  0.19    0.000455          91         5           writev
  0.15    0.000358          90         4           munmap
  0.14    0.000328          82         4           clone
  0.11    0.000265         265         1           mkdir
  0.08    0.000206          17        12           close
  0.08    0.000196          20        10           sigprocmask
  0.08    0.000194          65         3           getdents64
  0.07    0.000176          35         5           brk
  0.05    0.000126           8        16           SYS_224
  0.05    0.000113          38         3           dup
  0.04    0.000105          13         8           fcntl64
  0.03    0.000079          40         2           pipe
  0.02    0.000057          19         3           _llseek
  0.02    0.000057          14         4           fstat64
  0.02    0.000042          42         1           chmod
  0.02    0.000037          12         3           gettimeofday
  0.01    0.000033          17         2           flock
  0.01    0.000031          16         2           semget
  0.01    0.000025          25         1           semop
  0.01    0.000024           8         3           getuid32
  0.00    0.000004           4         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    0.242441                  1545         9 total
