Process 16141 attached - interrupt to quit
Process 16141 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 55.08    0.042173         981        43           ioctl
 27.20    0.020830          22       956           recv
  5.78    0.004423         402        11           open
  3.92    0.002999          79        38           mmap2
  1.47    0.001129          26        43           mprotect
  0.81    0.000620          14        45           msgget
  0.79    0.000602          22        28           brk
  0.72    0.000553          23        24           getpid
  0.69    0.000529          38        14         8 access
  0.54    0.000411          23        18           read
  0.39    0.000297          50         6           munmap
  0.38    0.000294          33         9         2 stat64
  0.37    0.000280          35         8           writev
  0.30    0.000229          38         6           pread
  0.24    0.000186          62         3           clone
  0.20    0.000155          13        12           close
  0.19    0.000146          15        10           semget
  0.19    0.000142          10        14           lseek
  0.15    0.000114          38         3           getdents64
  0.14    0.000105           9        12           sigprocmask
  0.13    0.000100          11         9           getuid32
  0.12    0.000092           7        13           SYS_224
  0.10    0.000073          24         3           dup
  0.05    0.000037          12         3           fstat64
  0.03    0.000024          24         1           semop
  0.02    0.000018           9         2           fcntl64
  0.01    0.000008           8         1           getpriority
------ ----------- ----------- --------- --------- ----------------
100.00    0.076569                  1335        10 total
