Process 5577 attached - interrupt to quit
Process 5577 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.13    0.145064         455       319           read
 19.56    0.052424         632        83           ioctl
 14.45    0.038729          40       977         2 recv
  3.82    0.010242          15       667           mprotect
  2.28    0.006098          22       282           lseek
  1.76    0.004708         235        20           open
  1.50    0.004008          80        50           mmap2
  0.44    0.001168        1168         1           pread
  0.36    0.000960          48        20        11 access
  0.33    0.000872          79        11           writev
  0.25    0.000662          47        14         2 stat64
  0.22    0.000588           9        62           msgget
  0.18    0.000485          69         7           clone
  0.15    0.000398          12        33           getpid
  0.12    0.000322          15        21           close
  0.08    0.000215         215         1           mkdir
  0.05    0.000143          14        10           semget
  0.05    0.000129           6        21           SYS_224
  0.04    0.000118          24         5           sigprocmask
  0.04    0.000112          56         2           getdents64
  0.04    0.000112         112         1           write
  0.03    0.000092          92         1           munmap
  0.03    0.000074          37         2           pipe
  0.02    0.000061           7         9           getuid32
  0.02    0.000051          10         5           fstat64
  0.02    0.000043           7         6           fcntl64
  0.01    0.000040          40         1           chmod
  0.01    0.000026          26         1           brk
  0.01    0.000025          25         1           semop
  0.01    0.000023           8         3           dup
  0.00    0.000006           6         1           gettimeofday
------ ----------- ----------- --------- --------- ----------------
100.00    0.267998                  2637        15 total
