Process 9175 attached - interrupt to quit
Process 9175 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.94    0.104473         106       984           recv
 18.25    0.041510         585        71           ioctl
 13.95    0.031722        4532         7           fsync
  7.08    0.016094          58       279           mprotect
  2.38    0.005414         208        26         4 open
  2.17    0.004944          10       471           read
  2.06    0.004678          59        79           mmap2
  1.22    0.002778          87        32           writev
  1.17    0.002665         333         8           chmod
  0.84    0.001914          48        40           munmap
  0.57    0.001290          33        39           pread
  0.56    0.001279         213         6           unlink
  0.53    0.001201          36        33        15 access
  0.46    0.001039          13        79           msgget
  0.43    0.000988           9       112           sigprocmask
  0.41    0.000926         132         7           write
  0.38    0.000854         142         6           rename
  0.27    0.000620          26        24         2 stat64
  0.22    0.000505          16        32           getpid
  0.18    0.000405          18        22           close
  0.14    0.000321          64         5           clone
  0.12    0.000276          18        15           brk
  0.11    0.000254          14        18           fstat64
  0.11    0.000241         241         1           mkdir
  0.11    0.000239          10        23           lseek
  0.08    0.000181          15        12           semget
  0.07    0.000165          24         7         1 lstat64
  0.06    0.000130           7        19           SYS_224
  0.04    0.000093           8        12           getuid32
  0.03    0.000069          14         5           gettimeofday
  0.02    0.000040          10         4           fcntl64
  0.02    0.000037          19         2           flock
  0.01    0.000030          30         1           semop
  0.01    0.000021           7         3           dup
------ ----------- ----------- --------- --------- ----------------
100.00    0.227396                  2484        22 total
