Process 10084 attached - interrupt to quit
)                                       = 0 <0.000034>
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.32    0.087004        1450        60         1 ioctl
 35.44    0.080452       20113         4           read
 18.13    0.041153         840        49         3 recv
  3.96    0.008989        8989         1           fork
  2.15    0.004886          40       121           mprotect
  0.51    0.001147         115        10           mmap2
  0.37    0.000845           9        91           msgget
  0.20    0.000460          38        12        12 access
  0.20    0.000459          92         5           writev
  0.17    0.000395          11        37           getpid
  0.09    0.000213          71         3           clone
  0.07    0.000152           5        30           SYS_224
  0.06    0.000141         141         1           write
  0.05    0.000110          16         7           gettimeofday
  0.04    0.000083          12         7           semget
  0.04    0.000083           8        11           close
  0.03    0.000079          26         3           brk
  0.03    0.000064          32         2           semop
  0.03    0.000057          57         1           open
  0.02    0.000054          27         2           stat64
  0.02    0.000040          40         1           munmap
  0.02    0.000039          39         1           pread
  0.02    0.000038           6         6           dup
  0.02    0.000035           5         7           getuid32
  0.01    0.000025           6         4           fcntl64
  0.01    0.000023           8         3           sigprocmask
  0.01    0.000015           8         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.227041                   481        16 total
