Process 14408 attached - interrupt to quit
Process 14408 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.69    8.558575      244531        35           semget
  2.96    0.267142        3382        79           ioctl
  1.44    0.130180         129      1012           recv
  0.17    0.015195        5065         3           write
  0.13    0.011520          29       397           mprotect
  0.12    0.010907         151        72           pread
  0.11    0.009886         139        71           getpid
  0.08    0.007178          60       120           mmap2
  0.05    0.004945         260        19         2 open
  0.05    0.004935          32       152           msgget
  0.04    0.003610          51        71           munmap
  0.03    0.002475          62        40           read
  0.02    0.001418           9       156           sigprocmask
  0.01    0.001145        1145         1           nanosleep
  0.01    0.001133          44        26        12 access
  0.01    0.001123          31        36           SYS_224
  0.01    0.001014          27        37           getuid32
  0.01    0.000806          42        19           _llseek
  0.01    0.000764          29        26         2 stat64
  0.01    0.000756          18        43           brk
  0.01    0.000739         106         7           clone
  0.01    0.000719          60        12           getdents64
  0.01    0.000624          30        21           writev
  0.00    0.000375          25        15           gettimeofday
  0.00    0.000321         321         1           mkdir
  0.00    0.000255          15        17           close
  0.00    0.000234          11        22           lseek
  0.00    0.000132          15         9           fstat64
  0.00    0.000127         127         1           chmod
  0.00    0.000063          11         6           fcntl64
  0.00    0.000058          10         6           dup
  0.00    0.000055          28         2           semop
  0.00    0.000039          10         4           getpriority
  0.00    0.000033          17         2           flock
  0.00    0.000029          29         1           sched_yield
------ ----------- ----------- --------- --------- ----------------
100.00    9.038510                  2541        16 total
